"id";"ubication";"device";"client";"last_mac";"current_mac";"note";"last_change_date";"status";"prtg_status";"prtg_id";"status_num_clients"
"195";"Camion 225";"Dispatch";"10.117.123.225";"Not Found";"0080.0701.12ab";"No data";"2024-09-02 04:35:31";"N/A";"Not Found";"0";"N/A"
"196";"Camion 225";"MEM";"10.117.122.225";"Not Found";"0013.9533.be84";"No data";"2024-09-02 04:35:31";"N/A";"Not Found";"0";"N/A"
"197";"Camion 225";"UMAN";"10.117.126.225";"Not Found";"b827.eb7c.1bde";"No data";"2024-09-02 04:35:31";"N/A";"Not Found";"0";"N/A"
"198";"Camion 225";"VIMS";"10.117.124.225";"Not Found";"000a.750e.47fc";"No data";"2024-09-02 04:35:31";"N/A";"Not Found";"0";"N/A"
"201";"Camion 226";"Cisco AP";"10.117.115.37";"Not Found";"8478.acaf.bec6";"No data";"2024-09-04 12:58:10";"ok";"Not Found";"0";"ok"
"202";"Camion 226";"Cisco RO";"10.117.116.37";"Not Found";"8478.acaf.bea6";"No data";"2024-09-03 10:59:51";"N/A";"Not Found";"0";"N/A"
"203";"Camion 226";"Dispatch";"10.117.123.226";"Not Found";"0080.0700.f4a0";"No data";"2024-09-03 10:59:51";"N/A";"Not Found";"0";"N/A"
"204";"Camion 226";"MEM";"10.117.122.226";"Not Found";"0013.9532.428c";"No data";"2024-09-03 10:59:51";"N/A";"Not Found";"0";"N/A"
"205";"Camion 226";"UMAN";"10.117.126.226";"Not Found";"b827.ebac.20b5";"No data";"2024-09-03 10:59:51";"N/A";"Not Found";"0";"N/A"
"206";"Camion 226";"VIMS";"10.117.124.226";"Not Found";"000a.7511.7f49";"No data";"2024-09-04 10:39:59";"N/A";"Not Found";"0";"N/A"
"209";"Camion 227";"Cisco AP";"10.117.115.62";"Not Found";"687d.b435.e926";"No data";"2024-09-04 10:59:43";"ok";"Not Found";"0";"ok"
"210";"Camion 227";"Cisco RO";"10.117.116.62";"Not Found";"ecce.13fd.aea0";"No data";"2024-09-04 11:19:30";"N/A";"Not Found";"0";"N/A"
"211";"Camion 227";"Dispatch";"10.117.123.227";"Not Found";"0080.0701.12d5";"No data";"2024-09-04 11:19:30";"N/A";"Not Found";"0";"N/A"
"212";"Camion 227";"MEM";"10.117.122.227";"Not Found";"0013.951a.fc44";"No data";"2024-09-04 11:19:30";"N/A";"Not Found";"0";"N/A"
"213";"Camion 227";"UMAN";"10.117.126.227";"Not Found";"b827.eb68.fc87";"No data";"2024-09-04 11:19:30";"N/A";"Not Found";"0";"N/A"
"214";"Camion 227";"VIMS";"10.117.124.227";"Not Found";"000a.750e.4a48";"No data";"2024-09-04 11:19:30";"N/A";"Not Found";"0";"N/A"
